# _tick,_time,frames,mean_episode_return_0,loss_0
399,1760608262.6064272,1276800,-0.08007863909006119,0.8077566027641296
400,1760608263.3694313,1280000,-0.07953114807605743,0.8095209002494812
401,1760608264.057044,1283200,-0.07965939491987228,0.8389668464660645
402,1760608263.9393148,1286400,-0.0793437734246254,0.7754960656166077
403,1760608264.5088272,1289600,-0.07921172678470612,0.7916393280029297
404,1760608265.0652788,1292800,-0.07936062663793564,0.7641639709472656
405,1760608265.732524,1296000,-0.07861579954624176,0.7913287281990051
406,1760608266.5102353,1299200,-0.0779617577791214,0.7838112711906433
407,1760608267.0480254,1302400,-0.07749253511428833,0.7592113614082336
408,1760608267.7009697,1305600,-0.0775122418999672,0.7876745462417603
409,1760608268.3817785,1308800,-0.07738228887319565,0.8089662194252014
410,1760608268.9949079,1312000,-0.07749968767166138,0.790171205997467
411,1760608269.660592,1315200,-0.07697327435016632,0.8059992790222168
412,1760608270.2415445,1318400,-0.07716311514377594,0.7765364050865173
413,1760608271.0679586,1321600,-0.0773860290646553,0.7924321889877319
414,1760608271.864823,1324800,-0.07758162170648575,0.7820753455162048
415,1760608272.7004428,1328000,-0.07774008810520172,0.7898315191268921
416,1760608273.3461602,1331200,-0.07768449187278748,0.785717248916626
417,1760608273.9518664,1334400,-0.07737233489751816,0.7912930250167847
418,1760608274.6341033,1337600,-0.0779467523097992,0.7965121269226074
419,1760608275.3455944,1340800,-0.07863321900367737,0.7696502804756165
